company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
10060192,ba elevator a/s,14,14,1,Bygge og anlæg,1,Anden bygningsinstallationsvirksomhed
10061393,Red Venture A/S,NA,NA,3,"Føde-, drikke- og tobaksvareindustri; Handel; Finansiering og forsikring",3,Fremstilling af andre fødevarer i.a.n.; Engroshandel med frugt og grøntsager; Ikke-finansielle holdingselskaber
10061741,Creation Group A/S,7,7,1,Møbel- og anden industri mv.,1,Anden fremstillingsvirksomhed i.a.n.
10062462,bioMérieux Danmark ApS,10,10,1,Handel,1,Engroshandel med læge- og hospitalsartikler
10062527,Danfilter ApS,25,25,2,Maskinindustri; Møbel- og anden industri mv.,2,Fremstilling af køle- og ventilationsanlæg (til industriel brug); Anden fremstillingsvirksomhed i.a.n.
10063469,Business Broker A/S,NA,NA,1,Rådgivning mv.,1,Virksomhedsrådgivning og anden rådgivning om driftsledelse
10067502,Læge Morten Storm,NA,NA,1,Sundhedsvæsen,1,Alment praktiserende læger
10068622,BMW Danmark A/S,15,15,1,Handel,1,Engroshandel med personbiler
10068657,Postnord Strålfors A/S,76,76,2,"Træ- og papirindustri, trykkerier; It- og informationstjenester",2,Anden trykning; Konsulentbistand vedrørende informationsteknologi
10073022,HOFOR,1355,1355,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10073464,Visutech A/S,4,4,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
10074002,Ankestyrelsen,724,724,1,Offentlig administration  forsvar og politi,1,Administration af sundhedsvæsen
10074185,EL:CON A/S,1218,1218,2,Bygge og anlæg; Rådgivning mv.,4,El-installation; Anden bygningsinstallationsvirksomhed; Anlæg af ledningsnet til elektricitet og kommunikation; Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder
10076404,LGT Logistics A/S,162,162,2,Handel; Transport,2,Engroshandel med møbler; Speditører
10078563,RØNVIG Dental Mfg. A/S,20,20,2,Møbel- og anden industri mv.; Handel,2,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil; Engroshandel med læge- og hospitalsartikler
