job_id,skill
1037799,træffe-beslutninger
1037808,r
1037808,samfundsvidenskab
1037808,business-intelligence
1037809,projektstyring
1037809,kommunikation
1037809,arbejde-selvstændigt
1037810,rådgive-kunder
1037810,engelsk
1037810,dansk
1037814,energi
1037815,dansk
1037816,dansk
1037816,support
1037816,medical-devices
1037816,engelsk
1037816,robot
1037818,økonomi
1037818,fysioterapi
1037824,business
1037824,support
1037836,chrome
1037836,security
1037836,firefox
1037837,arbejdsmarked
1037843,kundeservice
1037843,energi
1037843,arbejde-selvstændigt
1037849,dansk
1037849,økonomi
1037849,design
1037849,økonomistyring
1037849,lægemidler
1037849,medicinsk-udstyr
1037856,arbejde-selvstændigt
1037863,arbejde-selvstændigt
1037865,communication
1037865,english
1037865,danish
1037865,design
1037865,material
1037865,support
1037865,marketing
1037865,decommissioning
1037865,project-management
1037865,energy
1037865,communications
1037865,play
1037886,swift
1037893,dansk
1037893,design
1037893,security
1037893,personlig-udvikling
1037893,datalog
1037895,azure-functions
1037895,devops
1037895,dotnet
1037895,logic
1037895,sql
1037895,azure
1037895,aspnet
1037895,kommunikation
1037895,engelsk
1037895,framework
1037895,release
1037895,energi
1037895,.net
1037898,dansk
1037898,engelsk
1037900,økonomi
1037900,statistik
1037900,chef
1037902,kommunikation
1037903,communication
1037903,english
1037903,engineering
1037903,business
1037903,support
1037903,statistik
1037903,international-trade
1037903,crm
1037907,dansk
1037907,design
1037907,engelsk
1037907,electronics
1037907,elektronik
1037915,produktionsprocesser
1037915,engelsk
1037915,software
1037915,personlig-udvikling
1037920,kommunikation
1037920,twitter
1037920,håndværk
1037923,økonomistyring
1037923,kommunikation
1037924,dansk
1037924,commerce
1037924,norsk
1037924,design
1037924,marketing
1037924,kommunikation
1037924,engelsk
1037924,svensk
1037929,kafka
1037929,sql
1037929,monitoring
1037929,play
1037929,google
1037929,danish
1037929,support
1037929,react
1037929,aws
1037929,advertising
1037929,interaction
1037929,asp.net
1037929,customer-service
1037929,business
1037929,analytics
1037929,software
1037929,marketing
1037929,collaboration
1037929,git
